meas_id,lot_id,wafer_id,die_id,via_id,via_type,layer,resistance_ohm,continuity_pass,mean_humidity_pct,anneal_temp_c,meas_timestamp
75,LOT001,LOT001-W01,8,6,copper,M2,1.1269,True,38.07,414.57,2024-03-01T07:37:30
76,LOT001,LOT001-W01,8,7,tungsten,M1,1.0062,True,38.07,414.57,2024-03-01T07:38:00
77,LOT001,LOT001-W01,8,8,tungsten,M3,1.8691,False,38.07,414.57,2024-03-01T07:38:30
78,LOT001,LOT001-W01,8,9,tungsten,M4,2.2355,True,38.07,414.57,2024-03-01T07:39:00
79,LOT001,LOT001-W01,8,10,tungsten,M3,1.8456,True,38.07,414.57,2024-03-01T07:39:30
80,LOT001,LOT001-W01,9,1,copper,M3,1.4055,True,38.07,414.57,2024-03-01T07:40:00
81,LOT001,LOT001-W01,9,2,tungsten,M3,1.6908,True,38.07,414.57,2024-03-01T07:40:30
82,LOT001,LOT001-W01,9,3,tungsten,M1,1.0549,True,38.07,414.57,2024-03-01T07:41:00
83,LOT001,LOT001-W01,9,4,tungsten,M2,1.4805,True,38.07,414.57,2024-03-01T07:41:30
84,LOT001,LOT001-W01,9,5,copper,M1,0.783,True,38.07,414.57,2024-03-01T07:42:00
85,LOT001,LOT001-W01,9,6,tungsten,M3,1.8654,False,38.07,414.57,2024-03-01T07:42:30
86,LOT001,LOT001-W01,9,7,copper,M2,1.1285,True,38.07,414.57,2024-03-01T07:43:00
87,LOT001,LOT001-W01,9,8,tungsten,M2,1.5375,True,38.07,414.57,2024-03-01T07:43:30
88,LOT001,LOT001-W01,9,9,tungsten,M2,1.5828,True,38.07,414.57,2024-03-01T07:44:00
89,LOT001,LOT001-W01,9,10,tungsten,M2,1.4019,True,38.07,414.57,2024-03-01T07:44:30
90,LOT001,LOT001-W01,10,1,copper,M4,1.7532,True,38.07,414.57,2024-03-01T07:45:00
91,LOT001,LOT001-W01,10,2,copper,M3,1.4307,True,38.07,414.57,2024-03-01T07:45:30
92,LOT001,LOT001-W01,10,3,tungsten,M4,2.091,True,38.07,414.57,2024-03-01T07:46:00
93,LOT001,LOT001-W01,10,4,tungsten,M4,2.2009,True,38.07,414.57,2024-03-01T07:46:30
94,LOT001,LOT001-W01,10,5,tungsten,M3,1.9063,True,38.07,414.57,2024-03-01T07:47:00
95,LOT001,LOT001-W01,10,6,tungsten,M3,1.77,True,38.07,414.57,2024-03-01T07:47:30
96,LOT001,LOT001-W01,10,7,copper,M4,1.8043,True,38.07,414.57,2024-03-01T07:48:00
97,LOT001,LOT001-W01,10,8,tungsten,M4,2.192,True,38.07,414.57,2024-03-01T07:48:30
98,LOT001,LOT001-W01,10,9,copper,M1,0.7723,True,38.07,414.57,2024-03-01T07:49:00
99,LOT001,LOT001-W01,10,10,tungsten,M2,1.397,True,38.07,414.57,2024-03-01T07:49:30
100,LOT001,LOT001-W01,11,1,tungsten,M2,1.4582,True,38.07,414.57,2024-03-01T07:50:00
101,LOT001,LOT001-W01,11,2,copper,M1,0.8496,True,38.07,414.57,2024-03-01T07:50:30
102,LOT001,LOT001-W01,11,3,copper,M4,1.6855,True,38.07,414.57,2024-03-01T07:51:00
103,LOT001,LOT001-W01,11,4,tungsten,M3,1.6803,True,38.07,414.57,2024-03-01T07:51:30
104,LOT001,LOT001-W01,11,5,copper,M1,0.7925,True,38.07,414.57,2024-03-01T07:52:00
105,LOT001,LOT001-W01,11,6,copper,M4,1.7293,True,38.07,414.57,2024-03-01T07:52:30
106,LOT001,LOT001-W01,11,7,tungsten,M1,0.9509,True,38.07,414.57,2024-03-01T07:53:00
107,LOT001,LOT001-W01,11,8,copper,M2,1.1102,True,38.07,414.57,2024-03-01T07:53:30
108,LOT001,LOT001-W01,11,9,tungsten,M1,1.0097,True,38.07,414.57,2024-03-01T07:54:00
109,LOT001,LOT001-W01,11,10,tungsten,M3,1.6732,True,38.07,414.57,2024-03-01T07:54:30
110,LOT001,LOT001-W01,12,1,copper,M3,1.2848,True,38.07,414.57,2024-03-01T07:55:00
111,LOT001,LOT001-W01,12,2,copper,M4,1.7439,True,38.07,414.57,2024-03-01T07:55:30
112,LOT001,LOT001-W01,12,3,tungsten,M2,1.346,True,38.07,414.57,2024-03-01T07:56:00
113,LOT001,LOT001-W01,12,4,tungsten,M1,1.0074,True,38.07,414.57,2024-03-01T07:56:30
114,LOT001,LOT001-W01,12,5,tungsten,M2,1.3754,True,38.07,414.57,2024-03-01T07:57:00
115,LOT001,LOT001-W01,12,6,copper,M2,1.0693,True,38.07,414.57,2024-03-01T07:57:30
116,LOT001,LOT001-W01,12,7,copper,M4,1.5827,True,38.07,414.57,2024-03-01T07:58:00
117,LOT001,LOT001-W01,12,8,copper,M1,0.8364,True,38.07,414.57,2024-03-01T07:58:30
118,LOT001,LOT001-W01,12,9,tungsten,M4,2.269,True,38.07,414.57,2024-03-01T07:59:00
119,LOT001,LOT001-W01,12,10,copper,M4,1.737,True,38.07,414.57,2024-03-01T07:59:30
120,LOT001,LOT001-W01,13,1,tungsten,M2,1.4846,True,38.07,414.57,2024-03-01T08:00:00
121,LOT001,LOT001-W01,13,2,copper,M2,1.1468,True,38.07,414.57,2024-03-01T08:00:30
122,LOT001,LOT001-W01,13,3,tungsten,M4,2.1144,True,38.07,414.57,2024-03-01T08:01:00
123,LOT001,LOT001-W01,13,4,copper,M1,0.8088,True,38.07,414.57,2024-03-01T08:01:30
124,LOT001,LOT001-W01,13,5,copper,M2,1.1012,True,38.07,414.57,2024-03-01T08:02:00
125,LOT001,LOT001-W01,13,6,copper,M2,1.1092,True,38.07,414.57,2024-03-01T08:02:30
126,LOT001,LOT001-W01,13,7,tungsten,M2,1.3901,True,38.07,414.57,2024-03-01T08:03:00
127,LOT001,LOT001-W01,13,8,copper,M1,0.7805,True,38.07,414.57,2024-03-01T08:03:30
128,LOT001,LOT001-W01,13,9,tungsten,M3,1.84,True,38.07,414.57,2024-03-01T08:04:00
129,LOT001,LOT001-W01,13,10,tungsten,M3,1.8066,True,38.07,414.57,2024-03-01T08:04:30
130,LOT001,LOT001-W01,14,1,copper,M3,1.3691,True,38.07,414.57,2024-03-01T08:05:00
131,LOT001,LOT001-W01,14,2,tungsten,M4,2.1633,True,38.07,414.57,2024-03-01T08:05:30
132,LOT001,LOT001-W01,14,3,copper,M1,0.7637,True,38.07,414.57,2024-03-01T08:06:00
133,LOT001,LOT001-W01,14,4,copper,M4,1.6089,True,38.07,414.57,2024-03-01T08:06:30
134,LOT001,LOT001-W01,14,5,copper,M4,1.6406,True,38.07,414.57,2024-03-01T08:07:00
135,LOT001,LOT001-W01,14,6,copper,M3,1.3868,True,38.07,414.57,2024-03-01T08:07:30
136,LOT001,LOT001-W01,14,7,tungsten,M4,2.1889,True,38.07,414.57,2024-03-01T08:08:00
137,LOT001,LOT001-W01,14,8,tungsten,M2,1.4052,True,38.07,414.57,2024-03-01T08:08:30
138,LOT001,LOT001-W01,14,9,copper,M1,0.8516,True,38.07,414.57,2024-03-01T08:09:00
139,LOT001,LOT001-W01,14,10,copper,M3,1.4028,False,38.07,414.57,2024-03-01T08:09:30
140,LOT001,LOT001-W01,15,1,copper,M1,0.8071,False,38.07,414.57,2024-03-01T08:10:00
141,LOT001,LOT001-W01,15,2,copper,M1,0.7408,True,38.07,414.57,2024-03-01T08:10:30
142,LOT001,LOT001-W01,15,3,tungsten,M4,2.0911,True,38.07,414.57,2024-03-01T08:11:00
143,LOT001,LOT001-W01,15,4,tungsten,M4,2.1131,True,38.07,414.57,2024-03-01T08:11:30
144,LOT001,LOT001-W01,15,5,copper,M2,1.1317,True,38.07,414.57,2024-03-01T08:12:00
145,LOT001,LOT001-W01,15,6,copper,M3,1.408,True,38.07,414.57,2024-03-01T08:12:30
146,LOT001,LOT001-W01,15,7,tungsten,M3,1.7157,True,38.07,414.57,2024-03-01T08:13:00
147,LOT001,LOT001-W01,15,8,tungsten,M4,2.2116,True,38.07,414.57,2024-03-01T08:13:30
148,LOT001,LOT001-W01,15,9,copper,M3,1.4267,True,38.07,414.57,2024-03-01T08:14:00
149,LOT001,LOT001-W01,15,10,copper,M1,0.8017,True,38.07,414.57,2024-03-01T08:14:30
150,LOT001,LOT001-W01,16,1,copper,M1,0.844,True,38.07,414.57,2024-03-01T08:15:00
151,LOT001,LOT001-W01,16,2,copper,M2,0.9712,True,38.07,414.57,2024-03-01T08:15:30
152,LOT001,LOT001-W01,16,3,copper,M1,0.7475,True,38.07,414.57,2024-03-01T08:16:00
153,LOT001,LOT001-W01,16,4,copper,M3,1.3649,True,38.07,414.57,2024-03-01T08:16:30
154,LOT001,LOT001-W01,16,5,tungsten,M3,1.7131,True,38.07,414.57,2024-03-01T08:17:00
155,LOT001,LOT001-W01,16,6,tungsten,M1,0.9847,True,38.07,414.57,2024-03-01T08:17:30
156,LOT001,LOT001-W01,16,7,copper,M2,1.1765,True,38.07,414.57,2024-03-01T08:18:00
157,LOT001,LOT001-W01,16,8,copper,M4,1.8006,True,38.07,414.57,2024-03-01T08:18:30
158,LOT001,LOT001-W01,16,9,tungsten,M1,1.0278,True,38.07,414.57,2024-03-01T08:19:00
159,LOT001,LOT001-W01,16,10,tungsten,M3,1.8554,True,38.07,414.57,2024-03-01T08:19:30
160,LOT001,LOT001-W01,17,1,tungsten,M2,1.4396,True,38.07,414.57,2024-03-01T08:20:00
161,LOT001,LOT001-W01,17,2,tungsten,M4,2.1483,True,38.07,414.57,2024-03-01T08:20:30
162,LOT001,LOT001-W01,17,3,tungsten,M4,2.327,True,38.07,414.57,2024-03-01T08:21:00
163,LOT001,LOT001-W01,17,4,tungsten,M2,1.4807,False,38.07,414.57,2024-03-01T08:21:30
164,LOT001,LOT001-W01,17,5,tungsten,M4,2.2312,False,38.07,414.57,2024-03-01T08:22:00
165,LOT001,LOT001-W01,17,6,tungsten,M1,1.0272,True,38.07,414.57,2024-03-01T08:22:30
166,LOT001,LOT001-W01,17,7,copper,M3,1.3576,True,38.07,414.57,2024-03-01T08:23:00
167,LOT001,LOT001-W01,17,8,copper,M2,1.0532,True,38.07,414.57,2024-03-01T08:23:30
168,LOT001,LOT001-W01,17,9,copper,M3,1.34,True,38.07,414.57,2024-03-01T08:24:00
169,LOT001,LOT001-W01,17,10,copper,M2,1.0865,True,38.07,414.57,2024-03-01T08:24:30
170,LOT001,LOT001-W01,18,1,copper,M4,1.6477,True,38.07,414.57,2024-03-01T08:25:00
171,LOT001,LOT001-W01,18,2,copper,M2,1.0695,True,38.07,414.57,2024-03-01T08:25:30
172,LOT001,LOT001-W01,18,3,tungsten,M1,0.9781,False,38.07,414.57,2024-03-01T08:26:00
173,LOT001,LOT001-W01,18,4,copper,M4,1.6379,True,38.07,414.57,2024-03-01T08:26:30
174,LOT001,LOT001-W01,18,5,tungsten,M3,1.9466,True,38.07,414.57,2024-03-01T08:27:00
175,LOT001,LOT001-W01,18,6,tungsten,M3,1.7565,True,38.07,414.57,2024-03-01T08:27:30
176,LOT001,LOT001-W01,18,7,tungsten,M3,1.7847,True,38.07,414.57,2024-03-01T08:28:00
177,LOT001,LOT001-W01,18,8,tungsten,M3,1.5696,True,38.07,414.57,2024-03-01T08:28:30
178,LOT001,LOT001-W01,18,9,tungsten,M4,2.1872,True,38.07,414.57,2024-03-01T08:29:00
179,LOT001,LOT001-W01,18,10,copper,M3,1.4471,True,38.07,414.57,2024-03-01T08:29:30
180,LOT001,LOT001-W01,19,1,tungsten,M3,1.9032,True,38.07,414.57,2024-03-01T08:30:00
181,LOT001,LOT001-W01,19,2,copper,M4,1.669,True,38.07,414.57,2024-03-01T08:30:30
182,LOT001,LOT001-W01,19,3,tungsten,M1,1.0668,True,38.07,414.57,2024-03-01T08:31:00
183,LOT001,LOT001-W01,19,4,copper,M2,1.0733,True,38.07,414.57,2024-03-01T08:31:30
184,LOT001,LOT001-W01,19,5,copper,M1,0.8267,True,38.07,414.57,2024-03-01T08:32:00
185,LOT001,LOT001-W01,19,6,tungsten,M2,1.4389,True,38.07,414.57,2024-03-01T08:32:30
186,LOT001,LOT001-W01,19,7,tungsten,M1,0.9825,True,38.07,414.57,2024-03-01T08:33:00
187,LOT001,LOT001-W01,19,8,copper,M2,1.1754,True,38.07,414.57,2024-03-01T08:33:30
188,LOT001,LOT001-W01,19,9,copper,M4,1.7049,True,38.07,414.57,2024-03-01T08:34:00
189,LOT001,LOT001-W01,19,10,copper,M4,1.7125,True,38.07,414.57,2024-03-01T08:34:30
190,LOT001,LOT001-W01,20,1,copper,M4,1.7571,True,38.07,414.57,2024-03-01T08:35:00
191,LOT001,LOT001-W01,20,2,copper,M3,1.3676,True,38.07,414.57,2024-03-01T08:35:30
192,LOT001,LOT001-W01,20,3,tungsten,M1,1.004,True,38.07,414.57,2024-03-01T08:36:00
193,LOT001,LOT001-W01,20,4,tungsten,M2,1.4945,True,38.07,414.57,2024-03-01T08:36:30
194,LOT001,LOT001-W01,20,5,tungsten,M4,2.1637,True,38.07,414.57,2024-03-01T08:37:00
195,LOT001,LOT001-W01,20,6,tungsten,M4,2.0785,True,38.07,414.57,2024-03-01T08:37:30
196,LOT001,LOT001-W01,20,7,copper,M2,0.997,True,38.07,414.57,2024-03-01T08:38:00
197,LOT001,LOT001-W01,20,8,copper,M2,1.0962,False,38.07,414.57,2024-03-01T08:38:30
198,LOT001,LOT001-W01,20,9,tungsten,M3,1.761,True,38.07,414.57,2024-03-01T08:39:00
199,LOT001,LOT001-W01,20,10,copper,M3,1.4487,True,38.07,414.57,2024-03-01T08:39:30
200,LOT001,LOT001-W02,1,1,copper,M2,1.095,True,38.04,390.47,2024-03-01T08:40:00
201,LOT001,LOT001-W02,1,2,tungsten,M4,2.0218,False,38.04,390.47,2024-03-01T08:40:30
202,LOT001,LOT001-W02,1,3,tungsten,M2,1.401,True,38.04,390.47,2024-03-01T08:41:00
203,LOT001,LOT001-W02,1,4,tungsten,M4,2.0198,True,38.04,390.47,2024-03-01T08:41:30
204,LOT001,LOT001-W02,1,5,copper,M1,0.8619,True,38.04,390.47,2024-03-01T08:42:00
205,LOT001,LOT001-W02,1,6,copper,M2,1.2542,True,38.04,390.47,2024-03-01T08:42:30
206,LOT001,LOT001-W02,1,7,tungsten,M4,2.0388,True,38.04,390.47,2024-03-01T08:43:00
207,LOT001,LOT001-W02,1,8,tungsten,M4,2.185,True,38.04,390.47,2024-03-01T08:43:30
208,LOT001,LOT001-W02,1,9,tungsten,M2,1.4647,True,38.04,390.47,2024-03-01T08:44:00
209,LOT001,LOT001-W02,1,10,copper,M4,1.6806,True,38.04,390.47,2024-03-01T08:44:30
210,LOT001,LOT001-W02,2,1,copper,M4,1.5926,True,38.04,390.47,2024-03-01T08:45:00
211,LOT001,LOT001-W02,2,2,copper,M1,0.822,True,38.04,390.47,2024-03-01T08:45:30
212,LOT001,LOT001-W02,2,3,copper,M4,1.5771,True,38.04,390.47,2024-03-01T08:46:00
213,LOT001,LOT001-W02,2,4,copper,M2,1.0908,True,38.04,390.47,2024-03-01T08:46:30
214,LOT001,LOT001-W02,2,5,copper,M2,1.1743,True,38.04,390.47,2024-03-01T08:47:00
215,LOT001,LOT001-W02,2,6,tungsten,M4,1.997,True,38.04,390.47,2024-03-01T08:47:30
216,LOT001,LOT001-W02,2,7,copper,M1,0.8045,True,38.04,390.47,2024-03-01T08:48:00
217,LOT001,LOT001-W02,2,8,copper,M1,0.7655,True,38.04,390.47,2024-03-01T08:48:30
218,LOT001,LOT001-W02,2,9,tungsten,M1,0.9443,True,38.04,390.47,2024-03-01T08:49:00
219,LOT001,LOT001-W02,2,10,tungsten,M3,1.819,True,38.04,390.47,2024-03-01T08:49:30
220,LOT001,LOT001-W02,3,1,copper,M1,0.8003,True,38.04,390.47,2024-03-01T08:50:00
221,LOT001,LOT001-W02,3,2,tungsten,M4,2.1802,True,38.04,390.47,2024-03-01T08:50:30
222,LOT001,LOT001-W02,3,3,copper,M1,0.8135,True,38.04,390.47,2024-03-01T08:51:00
223,LOT001,LOT001-W02,3,4,tungsten,M3,1.7421,True,38.04,390.47,2024-03-01T08:51:30
224,LOT001,LOT001-W02,3,5,copper,M1,0.7938,True,38.04,390.47,2024-03-01T08:52:00
225,LOT001,LOT001-W02,3,6,tungsten,M3,1.8108,True,38.04,390.47,2024-03-01T08:52:30
226,LOT001,LOT001-W02,3,7,tungsten,M1,1.042,True,38.04,390.47,2024-03-01T08:53:00
227,LOT001,LOT001-W02,3,8,copper,M4,1.7165,True,38.04,390.47,2024-03-01T08:53:30
228,LOT001,LOT001-W02,3,9,copper,M3,1.3558,True,38.04,390.47,2024-03-01T08:54:00
229,LOT001,LOT001-W02,3,10,tungsten,M3,1.7079,True,38.04,390.47,2024-03-01T08:54:30
230,LOT001,LOT001-W02,4,1,tungsten,M2,1.3598,True,38.04,390.47,2024-03-01T08:55:00
231,LOT001,LOT001-W02,4,2,copper,M3,1.4083,True,38.04,390.47,2024-03-01T08:55:30
232,LOT001,LOT001-W02,4,3,copper,M1,0.8135,True,38.04,390.47,2024-03-01T08:56:00
233,LOT001,LOT001-W02,4,4,copper,M2,1.0884,True,38.04,390.47,2024-03-01T08:56:30
234,LOT001,LOT001-W02,4,5,tungsten,M4,2.0785,True,38.04,390.47,2024-03-01T08:57:00
235,LOT001,LOT001-W02,4,6,copper,M4,1.6078,True,38.04,390.47,2024-03-01T08:57:30
236,LOT001,LOT001-W02,4,7,tungsten,M4,2.1231,True,38.04,390.47,2024-03-01T08:58:00
237,LOT001,LOT001-W02,4,8,tungsten,M2,1.4655,True,38.04,390.47,2024-03-01T08:58:30
238,LOT001,LOT001-W02,4,9,copper,M2,1.097,True,38.04,390.47,2024-03-01T08:59:00
239,LOT001,LOT001-W02,4,10,tungsten,M1,0.9081,True,38.04,390.47,2024-03-01T08:59:30
240,LOT001,LOT001-W02,5,1,copper,M2,1.0575,True,38.04,390.47,2024-03-01T09:00:00
241,LOT001,LOT001-W02,5,2,copper,M3,1.4211,True,38.04,390.47,2024-03-01T09:00:30
242,LOT001,LOT001-W02,5,3,tungsten,M3,1.788,True,38.04,390.47,2024-03-01T09:01:00
243,LOT001,LOT001-W02,5,4,tungsten,M3,1.8391,True,38.04,390.47,2024-03-01T09:01:30
244,LOT001,LOT001-W02,5,5,tungsten,M2,1.4264,True,38.04,390.47,2024-03-01T09:02:00
245,LOT001,LOT001-W02,5,6,copper,M4,1.6554,True,38.04,390.47,2024-03-01T09:02:30
246,LOT001,LOT001-W02,5,7,copper,M2,1.1231,True,38.04,390.47,2024-03-01T09:03:00
247,LOT001,LOT001-W02,5,8,copper,M4,1.6731,True,38.04,390.47,2024-03-01T09:03:30
248,LOT001,LOT001-W02,5,9,copper,M1,0.8621,True,38.04,390.47,2024-03-01T09:04:00
249,LOT001,LOT001-W02,5,10,tungsten,M2,1.6182,True,38.04,390.47,2024-03-01T09:04:30
250,LOT001,LOT001-W02,6,1,tungsten,M1,0.9902,True,38.04,390.47,2024-03-01T09:05:00
251,LOT001,LOT001-W02,6,2,copper,M1,0.7839,True,38.04,390.47,2024-03-01T09:05:30
252,LOT001,LOT001-W02,6,3,copper,M2,1.1876,True,38.04,390.47,2024-03-01T09:06:00
253,LOT001,LOT001-W02,6,4,tungsten,M2,1.453,True,38.04,390.47,2024-03-01T09:06:30
254,LOT001,LOT001-W02,6,5,copper,M1,0.8274,True,38.04,390.47,2024-03-01T09:07:00
255,LOT001,LOT001-W02,6,6,tungsten,M2,1.4527,True,38.04,390.47,2024-03-01T09:07:30
256,LOT001,LOT001-W02,6,7,copper,M4,1.8301,True,38.04,390.47,2024-03-01T09:08:00
